Date,BTC,NYSE,Int_Rate,Gold,Nasdaq
2019-09-26,0.19549387681138505,0.6783724830062232,-0.5476490474605392,0.4442354737876982,0.4289876287792674
2019-09-27,0.19876516053313822,0.6693155554491781,-0.5628852063292272,0.42706459874950614,0.41930765781665463
2019-09-28,0.19861915521380194,0.6693155554491781,-0.5628852063292272,0.42706459874950614,0.41930765781665463
2019-09-29,0.19512995742097103,0.6693155554491781,-0.5628852063292272,0.42706459874950614,0.41930765781665463
2019-09-30,0.19979969947137502,0.6745428994734326,-0.5628852063292272,0.40523305319078545,0.42657432774463405
2019-10-01,0.20101606587770735,0.647513918302218,-0.6101172988221598,0.406377771106932,0.41958175641219936
2019-10-02,0.20224123155394394,0.6113052186053933,-0.6832508613918625,0.41520853160432164,0.4053043219555931
2019-10-03,0.1989657165153845,0.6236460264879529,-0.7746678146039903,0.412755522589988,0.41468342760564886
2019-10-04,0.1976350077052628,0.646907598851125,-0.8066637482282353,0.42739167152405294,0.4270721802869853
2019-10-05,0.19629479040933118,0.646907598851125,-0.8066637482282353,0.42739167152405294,0.4270721802869853
2019-10-06,0.1922734533581141,0.646907598851125,-0.8066637482282353,0.42739167152405294,0.4270721802869853
2019-10-07,0.198611966746338,0.6383214218924527,-0.7487663445272205,0.42068684726645017,0.4239704176931827
2019-10-08,0.1981973914473846,0.608509697303335,-0.7731441987171216,0.4376124402094231,0.41103027892840344
2019-10-09,0.20723140155044062,0.6245061868517634,-0.693916172599944,0.4302534704027267,0.4202658787479833
2019-10-10,0.20700326975302863,0.6364480799425565,-0.5887866764059966,0.43573178606485524,0.42560105047476054
2019-10-11,0.20048628270408278,0.662125425083772,-0.44556678304033004,0.4094848602574395,0.4366846591309504
2019-10-12,0.20085061081438235,0.662125425083772,-0.44556678304033004,0.4094848602574395,0.4366846591309504
2019-10-13,0.20046779461629038,0.662125425083772,-0.44556678304033004,0.4094848602574395,0.4366846591309504
2019-10-14,0.20178934351697012,0.6572267183660443,-0.4745154848908367,0.41251023231815415,0.4365187256997803
2019-10-15,0.19762096735738918,0.6747503041327587,-0.4166180811898227,0.39272284049650735,0.4472811324670161
2019-10-16,0.19373509330143343,0.672971081059518,-0.45166124658780454,0.40408832709802406,0.4448571142101559
2019-10-17,0.19512320170125727,0.680046367640019,-0.43794870360598587,0.41847912852395047,0.44720511886225484
2019-10-18,0.19190544686731892,0.6748459813307803,-0.4531848624746739,0.42264921850081133,0.4393196228739586
2019-10-19,0.19228341864415752,0.6748459813307803,-0.4531848624746739,0.42264921850081133,0.4393196228739586
2019-10-20,0.1980323210514619,0.6748459813307803,-0.4531848624746739,0.42264921850081133,0.4393196228739586
2019-10-21,0.19856513348395674,0.6879257170895163,-0.38462214756557805,0.408585432613127,0.4470113207389486
2019-10-22,0.19449030361134048,0.6852529869155897,-0.4211889288504289,0.41013900580653323,0.4399759328735145
2019-10-23,0.18061688908099513,0.6920392157332056,-0.4349014718322479,0.41831562075482936,0.4415658927164325
2019-10-24,0.1800953882827611,0.6927589768629325,-0.4242361606241665,0.43466885065142163,0.44983684135700147
2019-10-25,0.20883063223521284,0.697121485718845,-0.37090960458375866,0.4472608458484126,0.45652854737687926
